id,accepts_marketing,created_at,gender,first_name,last_name,email,phone_number,tax_exempt,order_count,total_spend,country,verified_email,new_vs_repeat,state
21,no,2022-05-08,male,Dustin,Johnson,dustinjohnson@fakeshopify.com,708.830.2679x49949,yes,8,816.3019996541236,New Caledonia,yes,repeat,NJ
22,no,2022-02-19,male,Donald,Anderson,donaldanderson@fakeshopify.com,(690)415-0074,no,8,860.9795226275747,Mauritius,yes,repeat,OR
23,no,2022-01-04,male,Vincent,White,vincentwhite@fakeshopify.com,(800)305-8427,yes,2,284.4677424456228,San Marino,yes,repeat,TX
24,no,2022-05-08,male,Stephen,Williams,stephenwilliams@fakeshopify.com,001-365-218-7111x01763,yes,7,490.4367751031527,Congo,yes,repeat,TX
25,no,2022-03-30,male,Gregory,Bond,gregorybond@fakeshopify.com,001-703-870-2574x4574,yes,7,673.7512086029967,Vanuatu,yes,repeat,NY
26,no,2022-04-28,female,Allison,Stevenson,allisonstevenson@fakeshopify.com,399-162-0660,no,0,0,Dominica,yes,new,MA
27,no,2022-03-25,female,Jennifer,Nelson,jennifernelson@fakeshopify.com,(299)304-6272,yes,5,698.1758528276632,Saint Kitts and Nevis,yes,repeat,NJ
28,no,2022-03-03,male,Jason,Ingram,jasoningram@fakeshopify.com,439.094.9470,yes,3,253.5150121066086,Myanmar,no,repeat,OR
29,no,2022-05-12,female,Kristin,Keith,kristinkeith@fakeshopify.com,754.698.5108x66192,yes,1,205.6173234277991,Norway,yes,new,NY
30,no,2022-03-02,female,Morgan,Romero,morganromero@fakeshopify.com,+1-484-538-5170x2389,yes,9,912.3919697479179,Benin,no,repeat,NJ
31,no,2022-04-13,male,Seth,Delgado,sethdelgado@fakeshopify.com,(605)905-5022x9508,no,8,1052.6783309475072,Sao Tome and Principe,yes,repeat,TX
32,no,2022-03-18,female,Lisa,Mejia,lisamejia@fakeshopify.com,691-785-0251,no,1,303.5892716005844,Liechtenstein,no,new,NY
33,no,2022-03-20,female,Christy,Evans,christyevans@fakeshopify.com,(992)357-2280x103,yes,9,898.3778027626026,Aruba,no,repeat,NY
34,no,2022-03-28,male,James,Garrett,jamesgarrett@fakeshopify.com,839-622-8559x550,no,1,84.57055089464043,China,yes,new,NJ
35,no,2022-05-06,female,Morgan,Hernandez,morganhernandez@fakeshopify.com,999-871-6252,no,2,124.01427033021855,Japan,yes,repeat,CA
36,no,2022-01-12,male,Christopher,Payne,christopherpayne@fakeshopify.com,+1-875-008-5432,no,0,0,Myanmar,no,new,TX
37,no,2022-03-26,male,Daniel,Flowers,danielflowers@fakeshopify.com,829.460.9480x0398,no,5,380.89822908683794,Guernsey,yes,repeat,NY
38,no,2022-03-18,male,Andrew,Cox,andrewcox@fakeshopify.com,494.903.3176,yes,5,693.2709280425786,Togo,no,repeat,MA
39,no,2022-04-08,female,Jacqueline,Malone,jacquelinemalone@fakeshopify.com,(007)021-5452x604,no,3,345.68784317484034,Brazil,no,repeat,CA
40,no,2022-01-04,male,Phillip,Hull,philliphull@fakeshopify.com,(266)036-9015,yes,3,336.12294802590964,American Samoa,no,repeat,CA
41,no,2022-04-14,female,Amanda,Spence,amandaspence@fakeshopify.com,1974895804,no,4,600.3520667529514,Liberia,yes,repeat,TX
42,no,2022-03-02,male,Richard,Owens,richardowens@fakeshopify.com,+1-292-998-1518x81494,yes,7,718.2707590648099,Netherlands Antilles,no,repeat,NJ
43,no,2022-01-30,female,Kelly,Greene,kellygreene@fakeshopify.com,646.798.9394,yes,4,363.1343900272379,Timor-Leste,yes,repeat,NY
44,yes,2022-04-07,female,Stephanie,Mccormick,stephaniemccormick@fakeshopify.com,001-207-199-2669x80483,no,4,776.7057618000117,Guatemala,yes,repeat,OR
45,no,2022-03-18,male,James,Fleming,jamesfleming@fakeshopify.com,997.811.9006,no,8,764.4690498484363,Hong Kong,no,repeat,NY
46,no,2022-02-11,male,Scott,Thompson,scottthompson@fakeshopify.com,(679)066-3080,yes,5,373.15732204459346,Botswana,yes,repeat,CA
47,yes,2022-05-01,male,John,Johnson,johnjohnson@fakeshopify.com,(934)755-3215x6574,yes,9,813.994952816055,Mongolia,yes,repeat,NY
48,no,2022-04-29,female,Valerie,Valdez,valerievaldez@fakeshopify.com,870.142.3881x819,no,0,0,Bahrain,yes,new,CA
49,no,2022-04-22,female,Christie,Hicks,christiehicks@fakeshopify.com,069.469.8034x8131,no,3,63.285232750479096,Myanmar,yes,repeat,OR
50,yes,2022-01-06,female,Lauren,Grant,laurengrant@fakeshopify.com,(677)752-4432,no,5,636.5881538149913,Belgium,no,repeat,TX
51,no,2022-03-16,female,Ashley,Poole,ashleypoole@fakeshopify.com,(131)248-9815x2778,no,4,580.7540433234765,Nepal,yes,repeat,MA
52,no,2022-05-15,female,Sandra,Ray,sandraray@fakeshopify.com,+1-005-532-9402x164,yes,5,598.102948838079,Ghana,no,repeat,TX
53,no,2022-03-16,female,Gabrielle,Nguyen,gabriellenguyen@fakeshopify.com,8769191487,yes,7,495.5094309304284,Ireland,yes,repeat,NJ
54,no,2022-01-25,female,Angela,Williams,angelawilliams@fakeshopify.com,449.166.1460x910,yes,2,191.75048160059046,Kazakhstan,no,repeat,OR
55,no,2022-05-16,female,Brenda,Graham,brendagraham@fakeshopify.com,(993)866-2263x24447,no,6,495.61962397686125,Palau,yes,repeat,NJ
56,no,2022-03-05,female,Julie,Richmond,julierichmond@fakeshopify.com,+1-951-567-1282x4027,yes,9,939.9866061537014,French Polynesia,no,repeat,TX
57,no,2022-02-02,female,Paula,Smith,paulasmith@fakeshopify.com,(378)092-0288x3788,yes,0,0,Lebanon,yes,new,TX
58,yes,2022-04-02,female,Victoria,Cooper,victoriacooper@fakeshopify.com,001-981-714-9117,no,7,655.338918984172,Kyrgyz Republic,no,repeat,NY
59,no,2022-03-18,male,Brian,Ortiz,brianortiz@fakeshopify.com,+1-302-970-9221x6254,no,5,593.5683370266454,South Georgia and the South Sandwich Islands,yes,repeat,TX
60,no,2022-01-20,female,Angela,Gray,angelagray@fakeshopify.com,001-625-053-8660x6522,yes,3,99.11668834023943,Botswana,yes,repeat,TX
61,no,2022-05-07,female,Mary,Snyder,marysnyder@fakeshopify.com,+1-899-426-5079x2289,no,2,191.10207826477796,Canada,yes,repeat,MA
62,no,2022-03-25,female,Deanna,Lang,deannalang@fakeshopify.com,708-269-4904x93534,no,7,554.0935479304998,Kenya,no,repeat,MA
63,no,2022-03-01,female,Mary,White,marywhite@fakeshopify.com,001-565-235-4210x8252,yes,3,321.6506965137955,Qatar,no,repeat,NY
64,no,2022-03-24,female,Stephanie,Cook,stephaniecook@fakeshopify.com,(216)758-7554x720,no,2,212.86236608821937,Pakistan,no,repeat,MA
65,yes,2022-03-22,male,Joseph,Sanchez,josephsanchez@fakeshopify.com,640-284-1930x915,no,4,619.2224963067681,Australia,no,repeat,NJ
66,no,2022-02-10,male,Ricky,Duran,rickyduran@fakeshopify.com,+1-378-815-7206,no,3,322.08784409722887,Cyprus,yes,repeat,OR
67,no,2022-04-02,male,Randy,Sheppard,randysheppard@fakeshopify.com,(985)151-3829,yes,7,331.52879987230307,American Samoa,no,repeat,OR
68,no,2022-03-10,female,Michaela,Bush,michaelabush@fakeshopify.com,(617)947-8303,no,9,809.2058726725004,Luxembourg,no,repeat,NY
69,no,2022-01-06,male,James,Green,jamesgreen@fakeshopify.com,+1-823-146-7222x494,no,8,1084.3097853316317,Poland,yes,repeat,TX
70,no,2022-02-27,female,Angela,Nicholson,angelanicholson@fakeshopify.com,388-640-0802x76825,yes,2,331.84279359268123,Saint Lucia,yes,repeat,NJ
71,yes,2022-01-07,female,Lauren,Roberts,laurenroberts@fakeshopify.com,151-488-1143x0874,yes,7,788.1615812778587,Djibouti,no,repeat,MA
72,no,2022-04-20,male,Daniel,Dominguez,danieldominguez@fakeshopify.com,5181655749,no,0,0,Algeria,no,new,CA
73,no,2022-03-08,male,Hunter,Miller,huntermiller@fakeshopify.com,001-739-161-3107,no,5,394.0620142640338,Lesotho,no,repeat,TX
74,no,2022-02-18,male,Christopher,Scott,christopherscott@fakeshopify.com,817-870-3100,no,2,180.59287178414775,Guyana,no,repeat,NY
75,no,2022-05-19,female,Michelle,Boyd,michelleboyd@fakeshopify.com,(114)417-7678x85391,yes,6,342.3736290939126,Namibia,no,repeat,NJ
76,no,2022-05-08,female,Marilyn,Frank,marilynfrank@fakeshopify.com,163-367-3936x7255,no,2,268.7829973012569,Mauritania,yes,repeat,NY
77,no,2022-01-13,female,Katherine,Keller,katherinekeller@fakeshopify.com,998.985.9325x1784,no,8,963.837084017655,Algeria,yes,repeat,MA
78,no,2022-05-08,male,Norman,Taylor,normantaylor@fakeshopify.com,3869031792,yes,3,86.76658439966522,Trinidad and Tobago,no,repeat,NY
79,no,2022-03-25,female,Laura,Ramos,lauraramos@fakeshopify.com,563.459.8887x4897,no,2,125.90523129739664,Montenegro,yes,repeat,OR
80,yes,2022-01-18,female,Mary,Campbell,marycampbell@fakeshopify.com,(936)255-8096x99734,yes,2,201.93173279198714,Slovakia (Slovak Republic),yes,repeat,CA
81,no,2022-04-23,female,Beth,Lewis,bethlewis@fakeshopify.com,993-393-3197x692,yes,3,147.25029498991827,Canada,no,repeat,CA
82,yes,2022-03-20,male,Michael,Pittman,michaelpittman@fakeshopify.com,(995)710-4988x68305,yes,0,0,Honduras,no,new,NY
83,no,2022-02-06,female,Felicia,Fuller,feliciafuller@fakeshopify.com,001-727-898-0828x42650,yes,3,294.01814909213397,Morocco,no,repeat,MA
84,no,2022-01-29,male,Patrick,Fernandez,patrickfernandez@fakeshopify.com,5522808180,no,3,341.37849190242974,Taiwan,yes,repeat,OR
85,yes,2022-05-13,female,Chelsea,Cruz,chelseacruz@fakeshopify.com,+1-035-106-8109x58050,no,1,234.3823586562108,Ghana,no,new,NJ
86,no,2022-02-01,male,Douglas,Abbott,douglasabbott@fakeshopify.com,8004112833,yes,7,636.5083579005143,Timor-Leste,no,repeat,OR
87,no,2022-03-18,female,Rachael,Miller,rachaelmiller@fakeshopify.com,034.953.2919x78641,no,5,558.5503736289338,Greenland,no,repeat,MA
88,no,2022-01-14,female,Danielle,Lopez,daniellelopez@fakeshopify.com,(681)265-1455,yes,2,200.81335103262657,South Georgia and the South Sandwich Islands,no,repeat,NJ
89,no,2022-04-21,male,Jeremy,Wilson,jeremywilson@fakeshopify.com,001-272-808-3609,no,7,497.091134266018,Latvia,no,repeat,TX
90,no,2022-03-15,male,Chad,Wood,chadwood@fakeshopify.com,(988)502-9593,no,6,582.513010600667,Barbados,no,repeat,OR
91,no,2022-05-03,female,Adriana,Long,adrianalong@fakeshopify.com,858.054.6776x3368,yes,1,138.9339677995901,Seychelles,yes,new,CA
92,no,2022-02-11,male,Steven,Cruz,stevencruz@fakeshopify.com,706.897.0926,no,4,682.0940377108898,Belarus,yes,repeat,MA
93,no,2022-04-18,male,Joseph,Ho,josephho@fakeshopify.com,634.615.9983,yes,4,331.63914621320316,Taiwan,no,repeat,CA
94,no,2022-02-04,male,Jeffrey,Ryan,jeffreyryan@fakeshopify.com,040.761.0257x64338,no,1,70.1117867204556,Eritrea,no,new,NY
95,no,2022-04-29,female,Kara,Brown,karabrown@fakeshopify.com,906-397-6002x94925,yes,4,591.047697620275,United Arab Emirates,yes,repeat,NY
96,no,2022-01-26,female,Deborah,Baxter,deborahbaxter@fakeshopify.com,(858)863-6999,no,2,100.07527131198925,United Arab Emirates,yes,repeat,TX
97,no,2022-02-08,male,Joshua,Watson,joshuawatson@fakeshopify.com,001-065-703-1044x3481,no,9,920.9866253688549,Saint Barthelemy,no,repeat,TX
98,yes,2022-03-17,male,Matthew,Perry,matthewperry@fakeshopify.com,921-379-1455x500,yes,5,561.9979791195094,Kazakhstan,no,repeat,NJ
99,no,2022-01-25,male,Eric,Smith,ericsmith@fakeshopify.com,022.092.4848x027,no,2,294.36263716499826,Norway,yes,repeat,NY
100,no,2022-03-23,male,Scott,Smith,scottsmith@fakeshopify.com,947-813-9458,no,1,270.24991257327525,Namibia,yes,new,TX
101,no,2022-04-26,female,Vickie,Gray,vickiegray@fakeshopify.com,(413)416-1896x2010,no,5,337.97042135186535,Costa Rica,no,repeat,NY
102,yes,2022-02-04,female,Kimberly,Wright,kimberlywright@fakeshopify.com,001-797-359-3752,no,7,674.5192739694457,Solomon Islands,no,repeat,NJ
103,no,2022-04-04,female,Heather,Mueller,heathermueller@fakeshopify.com,6298357763,no,1,290.2685855720436,Tajikistan,no,new,CA
104,no,2022-03-22,male,Robert,Herman,robertherman@fakeshopify.com,515-824-1374,yes,9,815.4856729483529,Czech Republic,yes,repeat,CA
105,no,2022-05-12,male,Ryan,Ramirez,ryanramirez@fakeshopify.com,059-949-6430,yes,4,589.752096983696,French Polynesia,yes,repeat,TX
106,yes,2022-01-06,male,Drew,Moore,drewmoore@fakeshopify.com,001-547-838-7598x364,yes,1,114.03022784395681,Switzerland,no,new,TX
107,no,2022-02-06,male,Don,Wolf,donwolf@fakeshopify.com,638-096-3677x61914,no,1,268.8522884692445,Saint Pierre and Miquelon,yes,new,TX
108,no,2022-04-25,male,Timothy,Nash,timothynash@fakeshopify.com,917.805.9749x8548,yes,7,523.9290909517857,Comoros,yes,repeat,NJ
109,no,2022-01-31,male,Marvin,Harrison,marvinharrison@fakeshopify.com,(822)468-5096x2241,yes,2,68.78230617575329,Egypt,yes,repeat,TX
110,no,2022-03-19,female,Brenda,Carter,brendacarter@fakeshopify.com,001-801-532-9172x427,yes,5,585.9238346839086,Andorra,yes,repeat,MA
111,yes,2022-01-27,male,Patrick,Smith,patricksmith@fakeshopify.com,001-759-696-1132,yes,5,667.5990573555631,Peru,no,repeat,NJ
112,no,2022-04-17,female,Margaret,Cannon,margaretcannon@fakeshopify.com,229-770-7617,no,9,981.9856824389246,Guinea-Bissau,no,repeat,NY
113,no,2022-03-19,female,Alexis,Gibson,alexisgibson@fakeshopify.com,858.189.1837x47958,no,5,630.4602938078656,Faroe Islands,yes,repeat,NY
114,no,2022-02-28,female,Kimberly,Weiss,kimberlyweiss@fakeshopify.com,001-544-515-0030x1701,no,1,221.25334386919687,South Georgia and the South Sandwich Islands,yes,new,CA
115,no,2022-03-20,female,Deanna,Wilson,deannawilson@fakeshopify.com,(190)556-9130,yes,6,580.4753849722656,Cyprus,no,repeat,NJ
116,no,2022-03-05,female,Lisa,White,lisawhite@fakeshopify.com,+1-817-467-4433x221,no,1,299.7289754670559,Ghana,no,new,MA
117,no,2022-02-02,female,Lisa,Brennan,lisabrennan@fakeshopify.com,+1-817-335-0764x631,no,0,0,Greenland,no,new,OR
118,yes,2022-02-20,female,Haley,Hoffman,haleyhoffman@fakeshopify.com,919-811-4947x7891,no,7,520.4472695051805,American Samoa,yes,repeat,TX
119,no,2022-01-14,female,Ashley,Harris,ashleyharris@fakeshopify.com,687-332-2527,yes,1,175.73953601849578,Iceland,no,new,TX
120,no,2022-02-10,male,David,Kim,davidkim@fakeshopify.com,(128)270-6831,no,0,0,Japan,yes,new,NJ
121,no,2022-04-01,female,Christine,Curry,christinecurry@fakeshopify.com,(283)873-5594,yes,0,0,Gabon,yes,new,NY
122,no,2022-04-17,female,Barbara,Jackson,barbarajackson@fakeshopify.com,+1-011-263-5141,no,6,519.3671673122037,South Georgia and the South Sandwich Islands,yes,repeat,MA
123,no,2022-02-01,male,Christopher,Hernandez,christopherhernandez@fakeshopify.com,168.847.2833x07994,yes,4,559.3241441072582,Syrian Arab Republic,yes,repeat,OR
124,yes,2022-02-17,female,Kristina,Grimes,kristinagrimes@fakeshopify.com,648.837.6844x445,no,6,653.1873099463512,Belarus,yes,repeat,OR
125,no,2022-01-18,male,Joseph,Moore,josephmoore@fakeshopify.com,042-162-5144x0226,no,9,993.1860581409013,Togo,yes,repeat,OR
126,no,2022-01-23,male,Jonathan,Dillon,jonathandillon@fakeshopify.com,474-285-8160,no,7,543.3163814055446,Tuvalu,no,repeat,TX
127,no,2022-02-20,male,Billy,Sloan,billysloan@fakeshopify.com,+1-883-452-0719x6319,yes,9,922.2195356619904,Saint Pierre and Miquelon,yes,repeat,OR
128,no,2022-01-02,male,Roy,Washington,roywashington@fakeshopify.com,001-025-190-2960x709,yes,3,224.96732252775752,Gibraltar,yes,repeat,CA
129,yes,2022-02-02,female,Julia,Young,juliayoung@fakeshopify.com,033.688.4333x739,yes,1,55.60709977649449,Croatia,no,new,OR
130,no,2022-04-23,male,Kevin,May,kevinmay@fakeshopify.com,+1-448-279-9581,yes,6,661.3000252190872,Dominican Republic,yes,repeat,TX
131,no,2022-03-27,male,Robert,Frazier,robertfrazier@fakeshopify.com,900.769.5760,no,0,0,Bouvet Island (Bouvetoya),yes,new,NJ
132,yes,2022-02-04,female,Tricia,Robertson,triciarobertson@fakeshopify.com,351-033-8459,no,4,647.6627884959566,United States Virgin Islands,yes,repeat,NY
133,no,2022-03-01,male,Aaron,Osborne,aaronosborne@fakeshopify.com,856-395-9376,yes,4,515.3546305991553,Austria,yes,repeat,CA
134,no,2022-05-07,male,Jason,Cooper,jasoncooper@fakeshopify.com,(308)859-1701,yes,1,248.6120693721067,Aruba,no,new,TX
135,yes,2022-01-16,female,Katherine,Anderson,katherineanderson@fakeshopify.com,468-426-4304x761,yes,0,0,Netherlands Antilles,no,new,NY
136,no,2022-01-26,male,Kevin,Kelley,kevinkelley@fakeshopify.com,+1-904-852-1554x6068,yes,6,523.8521141157996,Italy,no,repeat,NJ
137,no,2022-03-19,male,Jeremiah,Gibson,jeremiahgibson@fakeshopify.com,001-969-981-5328x2057,yes,4,545.3758681562745,French Southern Territories,yes,repeat,OR
138,no,2022-01-11,male,Travis,Barker,travisbarker@fakeshopify.com,(057)317-7760x52148,yes,7,655.1420991301778,Serbia,yes,repeat,OR
139,no,2022-01-13,male,Mark,Schwartz,markschwartz@fakeshopify.com,001-389-174-3781x919,no,6,514.3242168348331,Saint Vincent and the Grenadines,yes,repeat,MA
140,yes,2022-03-20,male,Kevin,Turner,kevinturner@fakeshopify.com,999-692-2002,yes,5,698.6302600412989,Swaziland,no,repeat,NJ
141,no,2022-01-22,female,Melissa,Lee,melissalee@fakeshopify.com,+1-215-477-9414x7100,no,4,505.7057606728848,Japan,yes,repeat,NJ
142,no,2022-03-25,male,Joshua,Shepherd,joshuashepherd@fakeshopify.com,536.979.3297,yes,6,525.2815598526417,Poland,yes,repeat,MA
143,no,2022-03-07,male,Colton,Fowler,coltonfowler@fakeshopify.com,013.388.7870,yes,4,406.1815554173942,Mali,yes,repeat,CA
144,no,2022-05-16,female,Karen,Neal,karenneal@fakeshopify.com,+1-769-771-4752,yes,3,303.29788127631696,Croatia,yes,repeat,CA
145,yes,2022-02-20,female,Nancy,Grant,nancygrant@fakeshopify.com,+1-447-797-1942x3415,yes,6,540.0870490164122,Myanmar,no,repeat,CA
146,no,2022-01-19,female,Robin,Turner,robinturner@fakeshopify.com,651.059.4926x3833,yes,4,622.3028047566796,Falkland Islands (Malvinas),no,repeat,NY
147,no,2022-04-03,male,Travis,Murray,travismurray@fakeshopify.com,(692)068-9406,no,5,367.34691364639764,Dominican Republic,no,repeat,MA
148,yes,2022-05-07,male,Kenneth,Martinez,kennethmartinez@fakeshopify.com,001-681-255-0236,no,8,868.8451103992306,Falkland Islands (Malvinas),no,repeat,OR
149,no,2022-01-21,female,Beth,Compton,bethcompton@fakeshopify.com,(555)509-2627x35129,no,9,1062.0335702401617,South Georgia and the South Sandwich Islands,yes,repeat,NJ
150,no,2022-05-18,female,Diana,Pena,dianapena@fakeshopify.com,869-141-2375,no,6,520.3090270729637,Egypt,yes,repeat,OR
151,no,2022-01-19,female,Stacy,Briggs,stacybriggs@fakeshopify.com,9238829745,no,5,763.10999652326,Estonia,no,repeat,TX
152,yes,2022-04-12,male,Robert,Jones,robertjones@fakeshopify.com,413.191.0262x12658,yes,1,321.80363693890763,Burundi,yes,new,NJ
153,no,2022-03-24,female,Barbara,Whitehead,barbarawhitehead@fakeshopify.com,001-090-342-7636x42651,yes,7,326.61228988223024,Jamaica,no,repeat,OR
154,no,2022-03-13,male,Jeremy,King,jeremyking@fakeshopify.com,001-434-142-9754,no,5,582.7571546657924,Brunei Darussalam,yes,repeat,MA
155,no,2022-01-22,female,Jamie,Davis,jamiedavis@fakeshopify.com,749.031.0171x7689,no,0,0,Ethiopia,no,new,CA
156,yes,2022-02-16,female,Tammy,Peterson,tammypeterson@fakeshopify.com,673.978.7757,no,5,732.3269068157172,Somalia,yes,repeat,NJ
157,no,2022-01-08,male,Jeremy,Long,jeremylong@fakeshopify.com,8306084021,yes,5,425.24641806100294,United Arab Emirates,no,repeat,OR
158,yes,2022-04-15,female,Kelly,Ochoa,kellyochoa@fakeshopify.com,626-927-2920x415,no,1,62.64575353743932,Greece,yes,new,TX
159,no,2022-04-15,female,Amber,Nichols,ambernichols@fakeshopify.com,(304)275-7595x009,yes,8,857.1930631471596,Sweden,no,repeat,NY
160,yes,2022-01-07,male,Donald,Woods,donaldwoods@fakeshopify.com,(309)255-6097,no,6,334.5126849267476,Belgium,no,repeat,CA
161,no,2022-04-16,female,Kristen,Walker,kristenwalker@fakeshopify.com,829-905-4613x36427,yes,7,367.622308715117,Saint Vincent and the Grenadines,yes,repeat,TX
162,no,2022-05-05,female,Amanda,Grant,amandagrant@fakeshopify.com,+1-445-728-5837x2590,yes,7,629.1692269292512,Ecuador,yes,repeat,NJ
163,no,2022-01-12,female,Linda,Day,lindaday@fakeshopify.com,+1-763-748-6897x8465,yes,8,812.4768222621126,Senegal,yes,repeat,NJ
164,no,2022-04-18,female,Joanna,King,joannaking@fakeshopify.com,327-004-4816x024,yes,9,1074.2568614862555,Saint Vincent and the Grenadines,yes,repeat,NY
165,yes,2022-04-23,male,John,Strong,johnstrong@fakeshopify.com,001-629-674-2874x19638,yes,8,1016.0913440228959,Norfolk Island,yes,repeat,MA
166,no,2022-03-23,male,James,Miller,jamesmiller@fakeshopify.com,396-308-4224x67248,no,8,904.9951816397031,Taiwan,no,repeat,TX
167,no,2022-02-06,male,Todd,Robinson,toddrobinson@fakeshopify.com,284.257.6873x1127,no,5,793.5698865210608,Nauru,yes,repeat,CA
168,no,2022-03-30,female,Lisa,Matthews,lisamatthews@fakeshopify.com,1847986619,yes,3,113.32871944779882,Sao Tome and Principe,no,repeat,NJ
169,no,2022-02-21,male,Curtis,Hill,curtishill@fakeshopify.com,(714)928-0905,no,9,976.5664769357184,Norway,yes,repeat,CA
170,no,2022-01-28,female,Kaitlin,Morris,kaitlinmorris@fakeshopify.com,001-881-293-6022x406,yes,9,955.5869165990341,Sierra Leone,no,repeat,CA
171,no,2022-01-03,female,Jill,Hicks,jillhicks@fakeshopify.com,459.147.7655x3819,no,6,627.0977505946416,Iceland,yes,repeat,OR
172,no,2022-02-03,male,Nicholas,Melton,nicholasmelton@fakeshopify.com,001-183-340-8437x356,yes,2,240.62081321246097,Ecuador,yes,repeat,TX
173,no,2022-04-19,male,Ryan,Jordan,ryanjordan@fakeshopify.com,(840)144-0338,no,9,866.6123644866865,Maldives,yes,repeat,NJ
174,no,2022-01-16,male,Michael,Lopez,michaellopez@fakeshopify.com,256.179.6317,no,5,771.5699061232764,Oman,yes,repeat,CA
175,yes,2022-03-07,male,Zachary,Welch,zacharywelch@fakeshopify.com,324.455.1233x017,yes,1,202.68331183116152,Saint Barthelemy,no,new,MA
176,no,2022-02-16,male,Robert,Martin,robertmartin@fakeshopify.com,+1-750-406-6949,no,4,439.41009366674064,British Indian Ocean Territory (Chagos Archipelago),yes,repeat,CA
177,no,2022-01-22,female,Jacqueline,Lewis,jacquelinelewis@fakeshopify.com,(304)437-3949x992,no,5,402.40210649843084,United Kingdom,no,repeat,OR
178,no,2022-03-11,male,Alex,Barnett,alexbarnett@fakeshopify.com,001-627-650-4313x22029,yes,1,203.46002391180593,Vietnam,no,new,TX
179,no,2022-02-05,male,Christopher,Moreno,christophermoreno@fakeshopify.com,498-914-3715x55118,no,7,472.4030713467405,Guinea-Bissau,no,repeat,OR
180,yes,2022-02-28,female,Kristen,Cannon,kristencannon@fakeshopify.com,8527141298,yes,4,353.45292293325355,Jamaica,yes,repeat,OR
181,no,2022-02-20,male,Joseph,Shaw,josephshaw@fakeshopify.com,6064296979,no,8,971.1741115426839,Liechtenstein,no,repeat,NY
182,yes,2022-05-14,female,Tiffany,Delacruz,tiffanydelacruz@fakeshopify.com,266-348-5720,yes,6,631.9969634338572,Montserrat,yes,repeat,MA
183,no,2022-05-08,female,Diane,Hart,dianehart@fakeshopify.com,(663)145-9476,no,1,245.71732720087098,Japan,yes,new,CA
